divipola,nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor,fecha_corte
63,departamental,Quindío,,Vivienda,3is_colapsos,"Colapsos (3iS, oficial)",Número,3iS-Sheets,115.0,2026-09-05
63,departamental,Quindío,,Salud,3is_salud,"Puntos de salud afectados (3iS, oficial)",Número,3iS-Sheets,29.0,2026-09-05
63,departamental,Quindío,,Educación,3is_educativos,"Puntos educativos afectados (3iS, oficial)",Número,3iS-Sheets,205.0,2026-09-05
63,departamental,Quindío,,Instituciones,3is_comunitarios,"Puntos comunitarios afectados (3iS, oficial)",Número,3iS-Sheets,1317.0,2026-09-05
63,departamental,Quindío,,Infraestructura,3is_vias,"Vías afectadas (3iS, oficial)",Número,3iS-Sheets,45.0,2026-09-05
63,departamental,Quindío,,Infraestructura,3is_aeropuertos,"Aeropuertos afectados (3iS, oficial)",Número,3iS-Sheets,1.0,2026-09-05
63,departamental,Quindío,,Infraestructura,3is_acueductos,"Acueductos afectados (3iS, oficial)",Número,3iS-Sheets,8.0,2026-09-05
63,departamental,Quindío,,Vivienda,pnud_vd,Viviendas destruidas,Número,PNUD,2157,2026-09-05
63,departamental,Quindío,,Vivienda,pnud_va,Viviendas averiadas,Número,PNUD,31692,2026-09-05
63,departamental,Quindío,,Salud,pnud_csalud,Centros de salud afectados,Número,PNUD,18,2026-09-05
63,departamental,Quindío,,Educación,pnud_cedu,Centros educativos afectados,Número,PNUD,199,2026-09-05
63,departamental,Quindío,,Instituciones,pnud_ccom,Centros comunitarios afectados,Número,PNUD,1607,2026-09-05
63,departamental,Quindío,,Vivienda,pnud_vivt_cop,Costo estimado vivienda (COP),COP,PNUD,4599434794643,2026-09-05
63,departamental,Quindío,,Salud,pnud_salud_cop,Costo estimado salud (COP),COP,PNUD,13247715204,2026-09-05
63,departamental,Quindío,,Educación,pnud_edu_cop,Costo estimado educación (COP),COP,PNUD,118823083474,2026-09-05
63,departamental,Quindío,,Instituciones,pnud_com_cop,Costo estimado comunitario (COP),COP,PNUD,1326243774451,2026-09-05
63,departamental,Quindío,,Infraestructura,pnud_infra_cop,Costo estimado infraestructura institucional (COP),COP,PNUD,1458314573130,2026-09-05
63,departamental,Quindío,,Pérdidas económicas,pnud_tot_cop,Costo total estimado (COP),COP,PNUD,6057749367772,2026-09-05
63,departamental,Quindío,,Escombros,undp_rapida_debris_households_m3,Escombros de vivienda (m³),m³,UNDP-RAPIDA,1042815,2026-09-05
63,departamental,Quindío,,Escombros,undp_rapida_debris_buildings_m3,Escombros de edificaciones (m³),m³,UNDP-RAPIDA,256043,2026-09-05
63,departamental,Quindío,,Escombros,undp_rapida_debris_infra_m3,Escombros de infraestructura (m³),m³,UNDP-RAPIDA,494791,2026-09-05
63,departamental,Quindío,,Escombros,undp_rapida_debris_total_m3,Escombros totales (m³),m³,UNDP-RAPIDA,1883899,2026-09-05
63,departamental,Quindío,,Pérdidas económicas,undp_rapida_econ_dmg_households_cop,Daño económico en vivienda (COP),COP,UNDP-RAPIDA,4599434794643,2026-09-05
63,departamental,Quindío,,Pérdidas económicas,undp_rapida_econ_dmg_infra_cop,Daño económico en infraestructura (COP),COP,UNDP-RAPIDA,1458314573130,2026-09-05
63,departamental,Quindío,,Pérdidas económicas,undp_rapida_econ_dmg_total_cop,Daño económico total (COP),COP,UNDP-RAPIDA,6057749367773,2026-09-05
27,departamental,Chocó,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,14,2026-09-05
27,departamental,Chocó,,Salud,salud_incidencia_tasa_100k,Tasa de incidencia (Salud),Tasa x100k hab.,Calculo,2.6717557251908395,2026-09-05
27,departamental,Chocó,,Salud,salud_incidencia_idx,Incidencia (Salud),Índice 0-100,Calculo,72.27441769426501,2026-09-05
27,departamental,Chocó,,Salud,salud_severidad_promedio,Severidad promedio cruda (Salud),Peso promedio,Calculo,1.6428571428571428,2026-09-05
27,departamental,Chocó,,Salud,salud_severidad_idx,Severidad promedio (Salud),Índice 0-100,Calculo,54.76190476190476,2026-09-05
27,departamental,Chocó,,Salud,salud_idx,Salud,Índice 0-100,Calculo,63.518161228084885,2026-09-05
27,departamental,Chocó,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,49,2026-09-05
27,departamental,Chocó,,Vivienda,vivienda_incidencia_tasa_100k,Tasa de incidencia (Vivienda),Tasa x100k hab.,Calculo,9.351145038167939,2026-09-05
27,departamental,Chocó,,Vivienda,vivienda_incidencia_idx,Incidencia (Vivienda),Índice 0-100,Calculo,100.0,2026-09-05
27,departamental,Chocó,,Vivienda,vivienda_severidad_promedio,Severidad promedio cruda (Vivienda),Peso promedio,Calculo,2.7551020408163267,2026-09-05
27,departamental,Chocó,,Vivienda,vivienda_severidad_idx,Severidad promedio (Vivienda),Índice 0-100,Calculo,96.54631083202513,2026-09-05
27,departamental,Chocó,,Vivienda,vivienda_idx,Vivienda,Índice 0-100,Calculo,98.27315541601257,2026-09-05
27,departamental,Chocó,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,71,2026-09-05
27,departamental,Chocó,,Instituciones,instituciones_incidencia_tasa_100k,Tasa de incidencia (Instituciones),Tasa x100k hab.,Calculo,13.549618320610687,2026-09-05
27,departamental,Chocó,,Instituciones,instituciones_incidencia_idx,Incidencia (Instituciones),Índice 0-100,Calculo,86.6354383529956,2026-09-05
27,departamental,Chocó,,Instituciones,instituciones_severidad_promedio,Severidad promedio cruda (Instituciones),Peso promedio,Calculo,1.591549295774648,2026-09-05
27,departamental,Chocó,,Instituciones,instituciones_severidad_idx,Severidad promedio (Instituciones),Índice 0-100,Calculo,90.62989045383412,2026-09-05
27,departamental,Chocó,,Instituciones,instituciones_idx,Instituciones,Índice 0-100,Calculo,88.63266440341486,2026-09-05
27,departamental,Chocó,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,18,2026-09-05
27,departamental,Chocó,,Educación,educacion_incidencia_tasa_100k,Tasa de incidencia (Educación),Tasa x100k hab.,Calculo,3.435114503816794,2026-09-05
27,departamental,Chocó,,Educación,educacion_incidencia_idx,Incidencia (Educación),Índice 0-100,Calculo,20.02235249462275,2026-09-05
27,departamental,Chocó,,Educación,educacion_severidad_promedio,Severidad promedio cruda (Educación),Peso promedio,Calculo,1.8333333333333333,2026-09-05
27,departamental,Chocó,,Educación,educacion_severidad_idx,Severidad promedio (Educación),Índice 0-100,Calculo,86.7117117117117,2026-09-05
27,departamental,Chocó,,Educación,educacion_idx,Educación,Índice 0-100,Calculo,53.367032103167226,2026-09-05
27,departamental,Chocó,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,46,2026-09-05
27,departamental,Chocó,,Productividad (proxy),econ_proxy_incidencia_tasa_100k,Tasa de incidencia (Productividad (proxy)),Tasa x100k hab.,Calculo,8.778625954198473,2026-09-05
27,departamental,Chocó,,Productividad (proxy),econ_proxy_incidencia_idx,Incidencia (Productividad (proxy)),Índice 0-100,Calculo,57.69278888468702,2026-09-05
27,departamental,Chocó,,Productividad (proxy),econ_proxy_severidad_promedio,Severidad promedio cruda (Productividad (proxy)),Peso promedio,Calculo,1.434782608695652,2026-09-05
27,departamental,Chocó,,Productividad (proxy),econ_proxy_severidad_idx,Severidad promedio (Productividad (proxy)),Índice 0-100,Calculo,100.0,2026-09-05
27,departamental,Chocó,,Productividad (proxy),econ_proxy_idx,Productividad (proxy),Índice 0-100,Calculo,78.84639444234351,2026-09-05
27,departamental,Chocó,,Compuesto,indice_compuesto,Índice compuesto,Índice 0-100,Calculo,76.52748151860462,2026-09-05
27,departamental,Chocó,,Marco normativo,en_decreto_1171,En Decreto 1171 de 2026 (desastre nacional),Sí/No (1-0),Decreto1171,1,2026-09-05
27,departamental,Chocó,,Productividad,empresarios_afectados,Empresarios afectados (grave/crítico),Número,Camaras,464,2026-09-05
27,departamental,Chocó,,Impacto humano,3is_fallecidos,"Fallecidos (3iS, oficial)",Número,3iS-Sheets,12.0,2026-09-05
27,departamental,Chocó,,Impacto humano,3is_heridos,"Heridos (3iS, oficial)",Número,3iS-Sheets,357.0,2026-09-05
27,departamental,Chocó,,Impacto humano,3is_desaparecidos,"Desaparecidos (3iS, oficial)",Número,3iS-Sheets,1.0,2026-09-05
27,departamental,Chocó,,Impacto humano,3is_rescatados,"Rescatados (3iS, oficial)",Número,3iS-Sheets,1.0,2026-09-05
27,departamental,Chocó,,Impacto humano,3is_familias,"Familias afectadas (3iS, oficial)",Número,3iS-Sheets,36412.0,2026-09-05
27,departamental,Chocó,,Vivienda,3is_vivaveriadas,"Viviendas averiadas (3iS, oficial)",Número,3iS-Sheets,26278.0,2026-09-05
27,departamental,Chocó,,Vivienda,3is_vivdestruidas,"Viviendas destruidas (3iS, oficial)",Número,3iS-Sheets,5184.0,2026-09-05
27,departamental,Chocó,,Vivienda,3is_colapsos,"Colapsos (3iS, oficial)",Número,3iS-Sheets,0.0,2026-09-05
27,departamental,Chocó,,Salud,3is_salud,"Puntos de salud afectados (3iS, oficial)",Número,3iS-Sheets,90.0,2026-09-05
27,departamental,Chocó,,Educación,3is_educativos,"Puntos educativos afectados (3iS, oficial)",Número,3iS-Sheets,314.0,2026-09-05
27,departamental,Chocó,,Instituciones,3is_comunitarios,"Puntos comunitarios afectados (3iS, oficial)",Número,3iS-Sheets,175.0,2026-09-05
27,departamental,Chocó,,Infraestructura,3is_vias,"Vías afectadas (3iS, oficial)",Número,3iS-Sheets,16.0,2026-09-05
27,departamental,Chocó,,Infraestructura,3is_aeropuertos,"Aeropuertos afectados (3iS, oficial)",Número,3iS-Sheets,0.0,2026-09-05
27,departamental,Chocó,,Infraestructura,3is_acueductos,"Acueductos afectados (3iS, oficial)",Número,3iS-Sheets,29.0,2026-09-05
27,departamental,Chocó,,Vivienda,pnud_vd,Viviendas destruidas,Número,PNUD,5184,2026-09-05
27,departamental,Chocó,,Vivienda,pnud_va,Viviendas averiadas,Número,PNUD,26278,2026-09-05
27,departamental,Chocó,,Salud,pnud_csalud,Centros de salud afectados,Número,PNUD,90,2026-09-05
27,departamental,Chocó,,Educación,pnud_cedu,Centros educativos afectados,Número,PNUD,314,2026-09-05
27,departamental,Chocó,,Instituciones,pnud_ccom,Centros comunitarios afectados,Número,PNUD,175,2026-09-05
27,departamental,Chocó,,Vivienda,pnud_vivt_cop,Costo estimado vivienda (COP),COP,PNUD,4930168741596,2026-09-05
27,departamental,Chocó,,Salud,pnud_salud_cop,Costo estimado salud (COP),COP,PNUD,91584473064,2026-09-05
27,departamental,Chocó,,Educación,pnud_edu_cop,Costo estimado educación (COP),COP,PNUD,244943688715,2026-09-05
