departamento,municipio,vivienda_ajust_idx,vivienda_ajust_raw,vivienda_ajust_fuente,salud_ajust_idx,salud_ajust_raw,salud_ajust_fuente,educacion_ajust_idx,educacion_ajust_raw,educacion_ajust_fuente,instituciones_ajust_idx,instituciones_ajust_raw,instituciones_ajust_fuente,economico_ajust_idx,economico_ajust_raw,economico_ajust_fuente,vulnerabilidad_ajust_idx,vulnerabilidad_ajust_raw,vulnerabilidad_ajust_fuente,compuesto_ajustado,n_dimensiones
Santander,Lebrija,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,Los Santos,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,Macaravita,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,Oiba,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,Palmar,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,Pinchote,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,San Vicente de Chucurí,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,Santa Bárbara,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,Santa Helena del Opón,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,Suratá,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Santander,Zapatoca,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Tolima,Honda,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Tolima,Planadas,0.0,0,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Tolima,Venadillo,0.0,6,PNUD,0.0,0,PNUD,0.5,1,PNUD,,,,,,,,,,0.2,3
Antioquia,La Ceja,0.3,109,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.1,3
Antioquia,Retiro,0.2,60,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.1,3
Antioquia,Sabaneta,0.4,155,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.1,3
Antioquia,Angostura,0.0,3,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Anorí,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Apartadó,0.0,3,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Bello,0.0,2,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Carolina,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Concepción,0.0,16,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,El Santuario,0.1,40,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Marinilla,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Mutatá,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Remedios,0.0,3,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,San José de la Montaña,0.0,3,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,San Rafael,0.1,29,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Turbo,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Yalí,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Antioquia,Zaragoza,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Bolívar,Cantagallo,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Bolívar,Morales,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Bolívar,Santa Rosa del Sur,0.0,4,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Bolívar,Simití,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Bolívar,Talaigua Nuevo,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Chocó,Bojayá,0.0,4,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Anolaima,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Arbeláez,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Beltrán,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Bituima,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Bojacá,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Carmen De Carupa,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Chipaque,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Chocontá,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Cogua,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Cucunubá,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Fosca,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Funza,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Girardot,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Guaduas,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Guasca,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Guatavita,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Junín,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,La Mesa,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,La Palma,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,La Peña,0.0,5,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Machetá,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Manta,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Medina,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Mosquera,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Nariño,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Pandi,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Quipile,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Sesquilé,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Soacha,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Sopó,0.0,4,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Sutatausa,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Tausa,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Tena,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Tibacuy,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Tibirita,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Tocaima,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Topaipí,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Venecia,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Vianí,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Villa de San Diego de Ubaté,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Villapinzón,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Cundinamarca,Zipaquirá,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Huila,Saladoblanco,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Nariño,Belén,0.0,2,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Nariño,Chachagüí,0.0,15,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Nariño,El Tambo,0.0,2,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Nariño,Guachucal,0.0,6,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Nariño,Pasto,0.0,15,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Nariño,Samaniego,0.0,6,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,Cáchira,0.0,4,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,El Tarra,0.0,2,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,Los Patios,0.0,6,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,Ocaña,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,Pamplonita,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,San Cayetano,0.0,2,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,San José de Cúcuta,0.1,28,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,Silos,0.0,4,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,Toledo,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,Villa Caro,0.0,1,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Norte de Santander,Ábrego,0.0,4,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Putumayo,Mocoa,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Putumayo,Villagarzón,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Santander,Betulia,0.0,2,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Santander,Cimitarra,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Santander,Guapotá,0.0,2,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Sucre,Coveñas,0.0,6,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Tolima,Anzoátegui,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Tolima,Espinal,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Tolima,Ibagué,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Tolima,Melgar,0.0,3,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Tolima,Purificación,0.1,37,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Tolima,Roncesvalles,0.0,15,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Tolima,Saldaña,0.0,3,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Tolima,San Luis,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
Tolima,Valle de San Juan,0.0,0,PNUD,0.0,0,PNUD,0.0,0,PNUD,,,,,,,,,,0.0,3
