nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor
departamental,Chocó,,Impacto humano,3is_rescatados,"Rescatados (3iS, oficial)",Número,3iS-Sheets,1.0
departamental,Chocó,,Impacto humano,3is_familias,"Familias afectadas (3iS, oficial)",Número,3iS-Sheets,36412.0
departamental,Chocó,,Vivienda,3is_vivaveriadas,"Viviendas averiadas (3iS, oficial)",Número,3iS-Sheets,26278.0
departamental,Chocó,,Vivienda,3is_vivdestruidas,"Viviendas destruidas (3iS, oficial)",Número,3iS-Sheets,5184.0
departamental,Chocó,,Vivienda,3is_colapsos,"Colapsos (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Chocó,,Salud,3is_salud,"Puntos de salud afectados (3iS, oficial)",Número,3iS-Sheets,90.0
departamental,Chocó,,Educación,3is_educativos,"Puntos educativos afectados (3iS, oficial)",Número,3iS-Sheets,314.0
departamental,Chocó,,Instituciones,3is_comunitarios,"Puntos comunitarios afectados (3iS, oficial)",Número,3iS-Sheets,175.0
departamental,Chocó,,Infraestructura,3is_vias,"Vías afectadas (3iS, oficial)",Número,3iS-Sheets,16.0
departamental,Chocó,,Infraestructura,3is_aeropuertos,"Aeropuertos afectados (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Chocó,,Infraestructura,3is_acueductos,"Acueductos afectados (3iS, oficial)",Número,3iS-Sheets,29.0
departamental,Chocó,,Vivienda,pnud_vd,Viviendas destruidas,Número,PNUD,5184
departamental,Chocó,,Vivienda,pnud_va,Viviendas averiadas,Número,PNUD,26278
departamental,Chocó,,Salud,pnud_csalud,Centros de salud afectados,Número,PNUD,90
departamental,Chocó,,Educación,pnud_cedu,Centros educativos afectados,Número,PNUD,314
departamental,Chocó,,Instituciones,pnud_ccom,Centros comunitarios afectados,Número,PNUD,175
departamental,Chocó,,Vivienda,pnud_vivt_cop,Costo estimado vivienda (COP),COP,PNUD,4930168741596
departamental,Chocó,,Salud,pnud_salud_cop,Costo estimado salud (COP),COP,PNUD,91584473064
departamental,Chocó,,Educación,pnud_edu_cop,Costo estimado educación (COP),COP,PNUD,244943688715
departamental,Chocó,,Instituciones,pnud_com_cop,Costo estimado comunitario (COP),COP,PNUD,146945510139
departamental,Chocó,,Infraestructura,pnud_infra_cop,Costo estimado infraestructura institucional (COP),COP,PNUD,483473671918
departamental,Chocó,,Pérdidas económicas,pnud_tot_cop,Costo total estimado (COP),COP,PNUD,5413642413514
departamental,Chocó,,Escombros,undp_rapida_debris_households_m3,Escombros de vivienda (m³),m³,UNDP-RAPIDA,1326777
departamental,Chocó,,Escombros,undp_rapida_debris_buildings_m3,Escombros de edificaciones (m³),m³,UNDP-RAPIDA,0
departamental,Chocó,,Escombros,undp_rapida_debris_infra_m3,Escombros de infraestructura (m³),m³,UNDP-RAPIDA,40494
departamental,Chocó,,Escombros,undp_rapida_debris_total_m3,Escombros totales (m³),m³,UNDP-RAPIDA,1508674
departamental,Chocó,,Pérdidas económicas,undp_rapida_econ_dmg_households_cop,Daño económico en vivienda (COP),COP,UNDP-RAPIDA,4930168741597
departamental,Chocó,,Pérdidas económicas,undp_rapida_econ_dmg_infra_cop,Daño económico en infraestructura (COP),COP,UNDP-RAPIDA,483473671918
departamental,Chocó,,Pérdidas económicas,undp_rapida_econ_dmg_total_cop,Daño económico total (COP),COP,UNDP-RAPIDA,5413642413514
departamental,Caldas,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,39
departamental,Caldas,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,59
departamental,Caldas,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,165
departamental,Caldas,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,181
departamental,Caldas,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,159
