denominador,codigo,municipio,departamento,poblacion_2026,estimacion_experimental_condicionada_a_existencia,tiene_soporte_minimo,abstencion,ejemplos_patron,banda_error_descriptiva_inferior,banda_error_descriptiva_superior,razones,habilitado_para_indice
urgencias,15087,Belén,Boyacá,7642,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15090,Berbeo,Boyacá,1636,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15092,Betéitiva,Boyacá,1762,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15097,Boavita,Boyacá,5169,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15104,Boyacá,Boyacá,5313,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15106,Briceño,Boyacá,2257,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15109,Buenavista,Boyacá,4519,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15114,Busbanzá,Boyacá,1342,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15131,Caldas,Boyacá,2797,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15135,Campohermoso,Boyacá,3187,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15162,Cerinza,Boyacá,3527,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15172,Chinavita,Boyacá,3049,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15180,Chiscas,Boyacá,4106,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15183,Chita,Boyacá,8255,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15185,Chitaraque,Boyacá,5969,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15187,Chivatá,Boyacá,2858,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15189,Ciénega,Boyacá,4499,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15204,Cómbita,Boyacá,13539,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15212,Coper,Boyacá,3456,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15215,Corrales,Boyacá,2576,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15218,Covarachía,Boyacá,2876,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15224,Cucaita,Boyacá,3813,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15226,Cuítiva,Boyacá,1850,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15232,Chíquiza,Boyacá,4795,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15236,Chivor,Boyacá,2773,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15248,El Espino,Boyacá,3126,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15272,Firavitoba,Boyacá,7182,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
