Código DANE;Sede;Severidad;Estado físico;Matrícula total;Aporte % ETC;Sector;Zona;Primera infancia;Primaria;Secundaria;Media;Adultos;Municipio;Docentes;Directivos docentes;Secretaría;Departamento;En Decreto 1171 de 2026;Organizaciones aliadas
227615000013;SEDE LA PUNTA;1;Bajo;43;0.0378;OFICIAL;RURAL;2;41;0;0;0;Riosucio;3;;Choco;Chocó;SI;
227001001072;SEDE LAS MERCEDES;2;Moderado;42;0.1143;OFICIAL;RURAL;19;23;0;0;0;Quibdó;4;1;Quibdó;Chocó;SI;
227077001225;SEDE DE BELLAVISTA;1;Bajo;42;0.0369;OFICIAL;RURAL;6;36;0;0;0;Bajo Baudó;3;;Choco;Chocó;SI;
127001000021;SEDE BUENOS AIRES;3;Crítico;41;0.1116;OFICIAL;URBANA;2;39;0;0;0;Quibdó;4;;Quibdó;Chocó;SI;
227001000459;SEDE SAN FRANCISCO DE ICHO;2;Moderado;40;0.1089;OFICIAL;RURAL;10;30;0;0;0;Quibdó;3;;Quibdó;Chocó;SI;
227077001993;SEDE MEDARDO MARTINEZ;3;Crítico;38;0.0334;OFICIAL;RURAL;5;20;13;0;0;Medio Baudó;4;;Choco;Chocó;SI;
227787000376;SEDE LA UNION;2;Moderado;36;0.0316;OFICIAL;RURAL;3;33;0;0;0;Tadó;2;;Choco;Chocó;SI;
227001001838;SEDE LA PEÑA BEBARA;2;Moderado;36;0.0316;OFICIAL;RURAL;3;33;0;0;0;Medio Atrato;2;;Choco;Chocó;SI;
227491000591;SEDE CARMEN DE SURAMA;3;Crítico;35;0.0307;OFICIAL;RURAL;5;30;0;0;0;Nóvita;2;;Choco;Chocó;SI;
227025000328;SEDE PUERTO PLATANARES;2;Moderado;35;0.0307;OFICIAL;RURAL;2;33;0;0;0;Medio Baudó;3;;Choco;Chocó;SI;
227787000252;SEDE SALERO;2;Moderado;35;0.0307;OFICIAL;RURAL;3;32;0;0;0;Unión Panamericana;2;;Choco;Chocó;SI;
227050000049;SEDE LA VARIANTE DE MOTOLDO;2;Moderado;35;0.0307;OFICIAL;RURAL;0;13;8;3;11;Atrato;3;;Choco;Chocó;SI;
227001000599;SEDE VILLA DE BEBARA;2;Moderado;35;0.0307;OFICIAL;RURAL;4;31;0;0;0;Medio Atrato;3;;Choco;Chocó;SI;
227745000201;SEDE JUSTINIANO ARBOLEDA DE BARRANCON;2;Moderado;34;0.0299;OFICIAL;RURAL;6;28;0;0;0;Sipí;3;;Choco;Chocó;SI;
227001001986;SEDE PUENTE DE TANANDO;1;Bajo;33;0.029;OFICIAL;RURAL;1;32;0;0;0;Atrato;3;;Choco;Chocó;SI;
227150800034;SEDE JIGUA;1;Bajo;33;0.029;OFICIAL;RURAL;9;24;0;0;0;Carmen del Darién;;;Choco;Chocó;SI;
127001002449;SEDE AVENIDA BAHIA SOLANO;2;Moderado;32;0.0871;OFICIAL;RURAL;5;27;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227615800117;SEDE TIERRA ADENTRO;1;Bajo;32;0.0281;OFICIAL;RURAL;6;26;0;0;0;Nuevo Belén de Bajirá;1;;Choco;Chocó;SI;
227001800021;CENTRO DE ATENCIÓN ESPECIALIZADA CAE JUAN ANDRES PALACIOS ASPRILLA;1;Bajo;31;0.0844;OFICIAL;RURAL;0;6;21;4;0;Quibdó;4;;Quibdó;Chocó;SI;Claro Colombia
227001004187;SEDE DE SAN JOAQUIN;1;Bajo;30;0.0817;OFICIAL;RURAL;1;29;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227077000482;SEDE POLICARPA SALAVARRIETA DE DOTENEDO;1;Bajo;30;0.0263;OFICIAL;RURAL;2;28;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227077001730;SEDE MARIA AUXILIADORA;2;Moderado;29;0.0255;OFICIAL;RURAL;0;29;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
227099000371;SEDE PLAYA DE CUIA;1;Bajo;29;0.0255;OFICIAL;RURAL;0;29;0;0;0;Bojayá;2;;Choco;Chocó;SI;
227025001227;SEDE DE BELLA CECILIA;1;Bajo;29;0.0255;OFICIAL;RURAL;11;18;0;0;0;Alto Baudó;1;;Choco;Chocó;SI;
227787000091;SEDE SIMON BOLIVAR TAPON;1;Bajo;28;0.0246;OFICIAL;RURAL;3;25;0;0;0;Tadó;2;;Choco;Chocó;SI;
227361000760;SEDE CHIQUICHOQUI;2;Moderado;26;0.0228;OFICIAL;RURAL;6;20;0;0;0;Medio San Juan;3;;Choco;Chocó;SI;
327001800167;GUARDERÍA Y JARDÍN INFANTIL CREANDO HUELLAS - SEDE PRINCIPAL;1;Bajo;25;0.0681;NO OFICIAL;URBANA;25;0;0;0;0;Quibdó;;;Quibdó;Chocó;SI;
227001000017;SEDE MOTOLDO;1;Bajo;25;0.022;OFICIAL;RURAL;5;20;0;0;0;Atrato;1;;Choco;Chocó;SI;
227615000358;SEDE LOS COQUITOS;1;Bajo;25;0.022;OFICIAL;RURAL;0;25;0;0;0;Riosucio;1;;Choco;Chocó;SI;
227001018072;SEDE DE CHIGORODO;1;Bajo;25;0.0681;OFICIAL;RURAL;16;9;0;0;0;Quibdó;;;Quibdó;Chocó;SI;
327001800175;CENTRO EDUCATIVO PASITO A PASITO LOVE - SEDE PRINCIPAL;1;Bajo;21;0.0572;NO OFICIAL;URBANA;10;11;0;0;0;Quibdó;;;Quibdó;Chocó;SI;
227025000638;SEDE DE SANTA RITA;1;Bajo;21;0.0184;OFICIAL;RURAL;0;21;0;0;0;Alto Baudó;3;;Choco;Chocó;SI;
227025000263;SEDE DE CHIGORODÓ;1;Bajo;21;0.0184;OFICIAL;RURAL;0;21;0;0;0;Alto Baudó;2;;Choco;Chocó;SI;
227077001705;SEDE SANTA PAULINA;1;Bajo;21;0.0184;OFICIAL;RURAL;1;20;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227615007051;SEDE PUERTO LLERAS;1;Bajo;20;0.0176;OFICIAL;RURAL;2;18;0;0;0;Carmen del Darién;1;;Choco;Chocó;SI;
205197000504;C. E. R. EL CHOCO;2;Moderado;20;0.0046;OFICIAL;RURAL;5;15;0;0;0;Cocorná;1;;Antioquia;Antioquia;;
227615001494;SEDE EL COCO ARENAL;3;Crítico;19;0.0167;OFICIAL;RURAL;0;19;0;0;0;Riosucio;1;;Choco;Chocó;SI;
227077000393;SEDE NUESTRA SEÑORA DE LAS PEÑAS;3;Crítico;19;0.0167;OFICIAL;RURAL;0;19;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227615800125;SEDE BUENOS AIRES;3;Crítico;19;0.0167;OFICIAL;RURAL;1;18;0;0;0;Nuevo Belén de Bajirá;1;;Choco;Chocó;SI;
227077002116;SEDE MARIA ALEJANDRA;2;Moderado;19;0.0167;OFICIAL;RURAL;1;18;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227245000469;SEDE EL QUINCE;1;Bajo;19;0.0167;OFICIAL;RURAL;1;18;0;0;0;El Carmen de Atrato;2;;Choco;Chocó;SI;
227077000181;SEDE LA CANDELARIA;1;Bajo;19;0.0167;OFICIAL;RURAL;5;14;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
227077001144;SEDE SABIO SALOMON;3;Crítico;18;0.0158;OFICIAL;RURAL;1;17;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227361002410;SEDE GUINIGUINI;2;Moderado;18;0.0158;OFICIAL;RURAL;3;15;0;0;0;Istmina;2;;Choco;Chocó;SI;
227099000117;SEDE CORAZON DE JESUS;1;Bajo;18;0.0158;OFICIAL;RURAL;0;18;0;0;0;Bojayá;1;;Choco;Chocó;SI;
227615000579;SEDE NUEVA LUZ;1;Bajo;18;0.0158;OFICIAL;RURAL;2;16;0;0;0;Riosucio;2;;Choco;Chocó;SI;
227361000808;SEDE BOCA DE RASPADURA;2;Moderado;18;0.0158;OFICIAL;RURAL;6;12;0;0;0;El Cantón del San Pablo;1;;Choco;Chocó;SI;
227491000851;SEDE COCOTEA;3;Crítico;17;0.0149;OFICIAL;RURAL;2;15;0;0;0;Nóvita;1;;Choco;Chocó;SI;
227025000808;SEDE DE PUERTO CORDOBA;2;Moderado;17;0.0149;OFICIAL;RURAL;0;17;0;0;0;Alto Baudó;2;;Choco;Chocó;SI;
227077001608;SEDE FRANCISCO DE PAULA SANTANDER;2;Moderado;17;0.0149;OFICIAL;RURAL;2;15;0;0;0;Medio Baudó;;;Choco;Chocó;SI;
227001002486;SEDE LOS ESTANCOS;2;Moderado;17;0.0463;OFICIAL;RURAL;5;12;0;0;0;Quibdó;2;;Quibdó;Chocó;SI;
227077001641;SEDE SAGRADO CORAZON DE JESUS;2;Moderado;16;0.014;OFICIAL;RURAL;1;15;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
