departamento,municipio,camara_comercio,empresarios_afectados,apoyo_recibido,aliados,recursos_propios
Risaralda,Pereira,Pereira,5302,,Alcaldía de Pereira; Acopi; Comfamiliar Risaralda; Tecnoglass; Fundación AGM Huellas de Piedra; Fundación Arturo Calle,Están revisando programa de atención a los empresarios en entrega de activos
Risaralda,Apia,Pereira,9,,,
Risaralda,Balboa,Pereira,7,,,
Risaralda,Belen de Umbria,Pereira,8,,,
Risaralda,Guatica,Pereira,1,,,
Risaralda,La Celia,Pereira,4,,,
Risaralda,La Virginia,Pereira,54,,,
Risaralda,Marsella,Pereira,35,,,
Risaralda,Mistrato,Pereira,1,,,
Risaralda,Pueblo Rico,Pereira,4,,,
Risaralda,Quinchia,Pereira,2,,,
Risaralda,Santuario,Pereira,7,,,
Risaralda,Santa Rosa de Cabal,Santa Rosa de Cabal,109,Ayuda Humanitaria,Alcaldía de Santa Rosa; Comfamiliar Risaralda,"Estrategia ""Santa Rosa de Cabal vuelve a latir"""
Valle del Cauca,Caicedonia,Sevilla,169,Ayuda Humanitaria,Sociedad Antiqueña de Ingenieros y Arquitectos ; Alcaldía de Sevilla; Fondo Valle INN,"Programa Impulso Región para fortalecer la competitividad de los empresarios afectados por el terremoto mediante acciones de formación, fortalecimiento comercial y entrega de activos productivos."
Valle del Cauca,Sevilla,Sevilla,413,,,
Valle del Cauca,Andalucia,Tulua,26,"Ayuda Humanitaria
Materiales de construcción",Alcaldía de Tuluá; Fenalco Tuluá,"Banco de materiales para la construcción ""Tuluá un solo corazón"""
Valle del Cauca,Bolivar,Tulua,25,,,
Valle del Cauca,Bugalagrande,Tulua,56,,,
Valle del Cauca,Riofrio,Tulua,46,,,
Valle del Cauca,Trujillo,Tulua,35,,,
Valle del Cauca,Tulua,Tulua,101,,,
Valle del Cauca,Zarzal,Tulua,120,,,
