Código DANE;Sede;Severidad;Estado físico;Matrícula total;Aporte % ETC;Sector;Zona;Primera infancia;Primaria;Secundaria;Media;Adultos;Municipio;Docentes;Directivos docentes;Secretaría;Departamento;En Decreto 1171 de 2026;Organizaciones aliadas
217486000294;ESCUELA JOSÉ MARÍA CARBONELL;2;Moderado;14;0.0174;;RURAL;0;14;0;0;0;Neira;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217541000096;ESCUELA RURAL LA PRIMAVERA;1;Bajo;14;0.0174;;RURAL;0;14;0;0;0;Pensilvania;;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217614000189;ESCUELA AGUA BONITA;3;Crítico;14;0.0174;;RURAL;3;11;0;0;0;Riosucio;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217616000046;INSTITUCION EDUCATIVA GABRIEL GARCIA MARQUEZ - SEDE PRINCIPAL;1;Bajo;14;0.0174;;RURAL;5;9;0;0;0;Risaralda;8;2;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217777000712;SEDE TIZAMAR;3;Crítico;14;0.0174;;RURAL;2;12;0;0;0;Supía;1;;Caldas;Caldas;;
217873000367;ESCUELA RURAL MIXTA BAJO COROZAL;3;Crítico;14;0.0174;;RURAL;2;12;0;0;0;Villamaría;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217873000278;ESCUELA RURAL SANTO DOMINGO;1;Bajo;14;0.0174;;RURAL;4;10;0;0;0;Villamaría;2;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
223417002234;JOSE MARIA CORDOBA;2;Moderado;14;0.0622;;RURAL;4;10;0;0;0;Lorica;;;Lorica;Córdoba;;
227077000075;SEDE JESUS DE PUERTO GRANADO;3;Crítico;13;0.0114;OFICIAL;RURAL;2;11;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
273124000722;SANTA ANA;3;Crítico;13;0.0093;OFICIAL;RURAL;4;9;0;0;0;Cajamarca;1;;Tolima;Tolima;SI;
276243000691;JOSE HERNANDO DUARTE;3;Crítico;13;0.01;OFICIAL;RURAL;1;12;0;0;0;El Águila;1;;Valle;Valle del Cauca;SI;
227250060038;SEDE NUESTRA SEÑORA DEL ROSARIO;3;Crítico;13;0.0114;OFICIAL;RURAL;4;9;0;0;0;El Litoral del San Juan;1;;Choco;Chocó;SI;
254172000071;SEDE LOBATICA;3;Crítico;13;0.0082;OFICIAL;RURAL;0;13;0;0;0;Chinácota;1;;Norte Santander;Norte de Santander;SI;
227150800043;SEDE MANANTIAL;2;Moderado;13;0.0114;OFICIAL;RURAL;2;11;0;0;0;Carmen del Darién;;;Choco;Chocó;SI;
227077002001;SEDE SANTA CECILIA SIERPE;2;Moderado;13;0.0114;OFICIAL;RURAL;1;12;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
227615061071;SEDE VILLA NUEVA SALAQUI;2;Moderado;13;0.0114;OFICIAL;RURAL;2;11;0;0;0;Riosucio;1;;Choco;Chocó;SI;
241020000829;EL TOPACIO;2;Moderado;13;0.0102;OFICIAL;RURAL;3;10;0;0;0;Algeciras;1;;Huila;Huila;SI;
273870000797;PRIMAVERA BAJA;2;Moderado;13;0.0093;OFICIAL;RURAL;3;10;0;0;0;Villahermosa;1;;Tolima;Tolima;SI;
205837000425;E.R. GUADUALITO (UNIT);2;Moderado;13;0.0347;OFICIAL;RURAL;1;12;0;0;0;Turbo;2;;Turbo;Antioquia;SI;
241396000781;CANSARROCINES;2;Moderado;13;0.0102;OFICIAL;RURAL;2;11;0;0;0;La Plata;4;1;Huila;Huila;SI;
273870000762;MINA POBRE;2;Moderado;13;0.0093;OFICIAL;RURAL;2;11;0;0;0;Villahermosa;2;;Tolima;Tolima;SI;
273411000873;AGUADOR LOS NARANJOS;1;Bajo;13;0.0093;OFICIAL;RURAL;1;12;0;0;0;Líbano;1;;Tolima;Tolima;SI;
205148000361;C. E. R. MORROS;1;Bajo;13;0.003;OFICIAL;RURAL;0;13;0;0;0;El Carmen de Viboral;;;Antioquia;Antioquia;SI;
250330000526;SEDE LAS FLORES;1;Bajo;13;0.0114;OFICIAL;RURAL;0;13;0;0;0;Mesetas;1;;Meta;Meta;NO;
227001001293;CENTRO EDUCATIVO MUNGUIDO - SEDE PRINCIPAL;1;Bajo;13;0.0354;OFICIAL;RURAL;3;10;0;0;0;Quibdó;2;1;Quibdó;Chocó;SI;
227001004179;SEDE PUERTO MURILLO;1;Bajo;13;0.0354;OFICIAL;RURAL;1;12;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
273168000207;SANTA CRUZ;1;Bajo;13;0.0093;OFICIAL;RURAL;1;12;0;0;0;Chaparral;1;;Tolima;Tolima;SI;
273675000821;MESETAS;1;Bajo;13;0.0093;OFICIAL;RURAL;2;11;0;0;0;San Antonio;;;Tolima;Tolima;SI;
273861000288;PUERTO BOY;1;Bajo;13;0.0093;OFICIAL;RURAL;1;12;0;0;0;Venadillo;1;;Tolima;Tolima;SI;
276054000044;ANTONIA SANTOS;1;Bajo;13;0.01;OFICIAL;RURAL;3;10;0;0;0;Argelia;1;;Valle;Valle del Cauca;SI;
276113000576;ALTO BONITO;1;Bajo;13;0.01;OFICIAL;RURAL;3;10;0;0;0;Bugalagrande;1;;Valle;Valle del Cauca;SI;
276250000044;BENJAMIN PEREA;2;Moderado;13;0.01;OFICIAL;RURAL;2;11;0;0;0;El Dovio;1;;Valle;Valle del Cauca;SI;
276250000079;MANUELA BELTRAN;2;Moderado;13;0.01;OFICIAL;RURAL;4;9;0;0;0;El Dovio;;1;Valle;Valle del Cauca;SI;
276250000109;NICOLAS BORRERO OLANO;2;Moderado;13;0.01;OFICIAL;RURAL;2;11;0;0;0;El Dovio;2;;Valle;Valle del Cauca;SI;
276400000676;C.E. ELÍAS GIRÓN VINASCO;2;Moderado;13;0.01;OFICIAL;RURAL;0;13;0;0;0;La Unión;2;;Valle;Valle del Cauca;SI;
276497000063;ANTONIA SANTOS;1;Bajo;13;0.01;OFICIAL;RURAL;3;10;0;0;0;Obando;2;2;Valle;Valle del Cauca;SI;FUNDACIÓN PARA EL MEJORAMIENTO DE LA PRODUCTIVIDAD DEL CULTIVO DE CAÑA DE AZUCAR
276622000208;ANTONIA SANTOS;3;Crítico;13;0.01;OFICIAL;RURAL;1;12;0;0;0;Roldanillo;1;;Valle;Valle del Cauca;SI;
276736000569;EL BARCINO;3;Crítico;13;0.01;OFICIAL;RURAL;2;11;0;0;0;Sevilla;;;Valle;Valle del Cauca;SI;
276828000247;BELISARIO PEÑA;2;Moderado;13;0.01;OFICIAL;RURAL;0;5;8;0;0;Trujillo;2;;Valle;Valle del Cauca;SI;
276828000298;MARCO FIDEL SUAREZ;3;Crítico;13;0.01;OFICIAL;RURAL;3;10;0;0;0;Trujillo;1;;Valle;Valle del Cauca;SI;
276845000188;SANTA TERESITA;2;Moderado;13;0.01;OFICIAL;RURAL;1;12;0;0;0;Ulloa;1;;Valle;Valle del Cauca;SI;
219022000987;EL CHILCO;1;Bajo;13;;OFICIAL;RURAL;1;12;0;0;0;Almaguer;1;;;Cauca;;
219075001004;CAMPO ALEGRE;1;Bajo;13;;OFICIAL;RURAL;2;11;0;0;0;Balboa;1;;;Cauca;;
219100001367;EL BOQUERON;1;Bajo;13;;OFICIAL;RURAL;3;10;0;0;0;Bolívar;2;;;Cauca;;
219100001405;EL ZAQUE;2;Moderado;13;;OFICIAL;RURAL;2;11;0;0;0;Bolívar;1;;;Cauca;;
219100002118;PUEBLO VIEJO;2;Moderado;13;;OFICIAL;RURAL;9;4;0;0;0;Bolívar;2;;;Cauca;;
219110000440;MATERON;1;Bajo;13;;OFICIAL;RURAL;5;8;0;0;0;Buenos Aires;1;;;Cauca;;
219110000555;SAN IGNACIO;1;Bajo;13;;OFICIAL;RURAL;2;11;0;0;0;Buenos Aires;1;;;Cauca;;
219130000829;EL TIGRE;1;Bajo;13;;OFICIAL;RURAL;1;12;0;0;0;Cajibío;1;;;Cauca;;
219142000972;ESCUELA RURAL MIXTA EL SOCORRO;1;Bajo;13;;OFICIAL;RURAL;3;10;0;0;0;Caloto;1;;;Cauca;;
219256000387;SAN PEDRO;1;Bajo;13;;OFICIAL;RURAL;2;11;0;0;0;El Tambo;1;;;Cauca;;
219256000484;EL RAMAL;1;Bajo;13;;OFICIAL;RURAL;0;13;0;0;0;El Tambo;2;1;;Cauca;;
219256000930;BELLAVISTA;1;Bajo;13;;OFICIAL;RURAL;1;12;0;0;0;El Tambo;1;;;Cauca;;
219256001341;LA GALLERA;1;Bajo;13;;OFICIAL;RURAL;0;7;6;0;0;El Tambo;4;;;Cauca;;
219256002797;CENTRO DOCENTE EL PINAR DEL RIO;1;Bajo;13;;OFICIAL;RURAL;0;13;0;0;0;El Tambo;1;;;Cauca;;
219355000216;SAN FRANCISCO;1;Bajo;13;;OFICIAL;RURAL;3;10;0;0;0;Inzá;2;;;Cauca;;
219397000186;GUAYABAL;3;Crítico;13;;OFICIAL;RURAL;2;11;0;0;0;La Vega;1;;;Cauca;;
219397000577;LA VENTICA;1;Bajo;13;;OFICIAL;RURAL;2;11;0;0;0;La Vega;1;;;Cauca;;
219517000037;ASCENCIO;1;Bajo;13;;OFICIAL;RURAL;1;12;0;0;0;Páez;1;;;Cauca;;
219532000795;LA PARAMILLA;1;Bajo;13;;OFICIAL;RURAL;0;13;0;0;0;Patía;1;;;Cauca;;
219693000124;NARANJOS;1;Bajo;13;;OFICIAL;RURAL;3;10;0;0;0;San Sebastián;2;;;Cauca;;
219743000368;ALTO GRANDE;1;Bajo;13;;OFICIAL;RURAL;1;12;0;0;0;Silvia;1;;;Cauca;;
219780001421;CENTRO DOCENTE EL PARAISO;1;Bajo;13;;OFICIAL;RURAL;0;13;0;0;0;Suárez;1;;;Cauca;;
263401000039;EL OCASO;1;Bajo;13;0.0358;OFICIAL;RURAL;0;13;0;0;0;La Tebaida;1;;Quindio;Quindio;;
205002000203;C. E. R. LA PRIMAVERA;1;Bajo;13;0.003;OFICIAL;RURAL;2;11;0;0;0;Abejorral;1;;Antioquia;Antioquia;;
205034000132;C. E. R. LINO ACEVEDO;2;Moderado;13;0.003;OFICIAL;RURAL;3;10;0;0;0;Andes;1;;Antioquia;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia)
205134000091;C. E. R. LA CHIQUITA;2;Moderado;13;0.003;OFICIAL;RURAL;1;12;0;0;0;Campamento;1;1;Antioquia;Antioquia;;
205145000174;OSCAR DUQUE HERNANDEZ;2;Moderado;13;0.003;OFICIAL;RURAL;1;12;0;0;0;Caramanta;1;;Antioquia;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia)
205240000823;E R I EL RETIRO;2;Moderado;13;0.003;OFICIAL;RURAL;2;5;6;0;0;Ebéjico;2;;Antioquia;Antioquia;;
